,Id,Answer,Feedback,Time
0,1000646952,все плозо,Все нравится 10/10,2022-11-25 00:34:31.455604
1,1000646952,не получается смотреть футбол,,2022-11-25 17:27:46.443429
2,1000646952,awdwadawd,,2022-11-25 17:28:22.951097
3,1000646952,проблема с приставкой,"Мне все нравится, молодцы",2022-11-25 21:08:13.062032
4,920561628,я болен раком и крабом,,2022-11-25 22:04:35.358348
5,920561628,я не знаю как это работает,,2022-11-25 22:10:49.728841
6,920561628,"я не могу зарегистрироваться, выдает сообщение об ошибке почты",,2022-11-26 00:08:55.070268
7,1000646952,не работает приставка,,2022-11-26 01:01:04.852440
8,1000646952,работа с китами,,2022-11-26 01:02:09.075951
